building_id,source_run,display_label,source_count,legacy_panel_name,point_count_in_footprint,roof_face_count,pointcloud_source,cityjson,z_shift_to_reference_m,figure
DEBY_LOD2_4908168,raw_sparse,raw sparse,10,8way,1,0,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,raw_acmp,raw acmp,10,8way,1393,1,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,s2_arm1_r1,S2 Arm 1 r1,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2_direction_position_20260710_C001/base/roofer/gs_e5_C001_s2_arm1_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,s2p_arm1p_r1,S2p Arm 1' r1,10,8way,1983,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,s2p_arm1p_r2,S2p Arm 1' r2,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,s3a_r1,S3-A r1,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4908168,s3a_r2,S3-A r2,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4908168.png
DEBY_LOD2_4907185,reference,Reference LoD2,10,8way,1315,2,reference samples,reference LoD2,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,lidar,LiDAR,10,8way,3359,4,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,raw_dense,raw dense(MVS),10,8way,3488,3,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,raw_sparse,raw sparse,10,8way,35,0,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,raw_acmp,raw acmp,10,8way,6174,6,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,s2_arm1_r1,S2 Arm 1 r1,10,8way,6031,4,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2_direction_position_20260710_C001/base/roofer/gs_e5_C001_s2_arm1_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,s2p_arm1p_r1,S2p Arm 1' r1,10,8way,5697,2,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,s2p_arm1p_r2,S2p Arm 1' r2,10,8way,7125,5,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,s3a_r1,S3-A r1,10,8way,1200,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907185,s3a_r2,S3-A r2,10,8way,1906,2,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907185.png
DEBY_LOD2_4907184,reference,Reference LoD2,10,8way,2758,4,reference samples,reference LoD2,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,lidar,LiDAR,10,8way,7199,7,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,raw_dense,raw dense(MVS),10,8way,201892,6,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,raw_sparse,raw sparse,10,8way,1900,2,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,raw_acmp,raw acmp,10,8way,104495,5,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,s2_arm1_r1,S2 Arm 1 r1,10,8way,392116,9,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2_direction_position_20260710_C001/base/roofer/gs_e5_C001_s2_arm1_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,s2p_arm1p_r1,S2p Arm 1' r1,10,8way,418497,4,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,s2p_arm1p_r2,S2p Arm 1' r2,10,8way,415671,4,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,s3a_r1,S3-A r1,10,8way,419110,4,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_4907184,s3a_r2,S3-A r2,10,8way,425723,6,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png
DEBY_LOD2_60098,reference,Reference LoD2,10,8way,1599,2,reference samples,reference LoD2,0.0,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,lidar,LiDAR,10,8way,4020,5,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,raw_dense,raw dense(MVS),10,8way,668,3,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,raw_sparse,raw sparse,10,8way,18,0,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,raw_acmp,raw acmp,10,8way,7389,4,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,s2_arm1_r1,S2 Arm 1 r1,10,8way,535,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2_direction_position_20260710_C001/base/roofer/gs_e5_C001_s2_arm1_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,s2p_arm1p_r1,S2p Arm 1' r1,10,8way,694,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,s2p_arm1p_r2,S2p Arm 1' r2,10,8way,1327,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,s3a_r1,S3-A r1,10,8way,988,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_60098,s3a_r2,S3-A r2,10,8way,872,1,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_60098.png
DEBY_LOD2_8568392,reference,Reference LoD2,10,8way,49,1,reference samples,reference LoD2,0.0,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,lidar,LiDAR,10,8way,109,1,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,raw_dense,raw dense(MVS),10,8way,0,0,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,0.0,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,raw_sparse,raw sparse,10,8way,0,0,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,raw_acmp,raw acmp,10,8way,1,0,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,s2_arm1_r1,S2 Arm 1 r1,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2_direction_position_20260710_C001/base/roofer/gs_e5_C001_s2_arm1_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,s2p_arm1p_r1,S2p Arm 1' r1,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,s2p_arm1p_r2,S2p Arm 1' r2,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/roofer/gs_e5_C001_s2p_arm1p_dense_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,s3a_r1,S3-A r1,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r1/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
DEBY_LOD2_8568392,s3a_r2,S3-A r2,10,8way,0,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_s3a_semantic_guided_20260713_C001/base/roofer/gs_e5_C001_s3a_semantic_guided_r2/run_1/{bid}_run_1_classified.las,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json,-45.7,docs/figs/e5_c001_s3/8way_panels/8way_8568392.png
