building_id,texture_low_gradient_fraction,texture_grad_p10,dense_point_count,dense_point_density_m2,coverage_frac,n_views_nadir,frac_views_incidence_le60,recon_score_median,footprint_area_m2,label_source,manual_split,dense_split,combined_split,expected_tier,primary_assignment,primary_rule_path,primary_nonwell_candidate,queue_inclusion_reason,fm_dense_status,fm_dense_selected_dlt_point_count,fm_dense_footprint_inside_point_count,fm_dense_inside_z_median_m,fm_dense_inside_z_mad_m,fm_dense_coverage_ratio,fm_dense_selected_pair_count,fm_dense_completed_pair_count,fm_dense_elapsed_seconds,fm_dense_new_mast3r_inference_runs,fm_dense_cache_reuse_runs,fm_dense_origin_new_mast3r_inference_runs,fm_dense_count_threshold,fm_sparse_status_reference,fm_sparse_selected_dlt_point_count_reference,fm_sparse_footprint_inside_point_count_reference,fm_sparse_inside_z_median_m_reference,fm_sparse_inside_z_mad_m_reference,outline_observable,formula_assignment,size_rule_assignment,override_assignment,override_evidence,override_applied,map_assignment,conditional_generation_target,dense_assembled,manual_split_seed,dense_split_seed,learning_runs_started,new_inference_type
DEBY_LOD2_104583447,0.486000000,0.003900000,122.000000000,20.058861000,0.500000000,1.800000000,0.254000000,113.072000000,6.082000000,dense_success_positive,not_manual,calibration,calibration,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,10144,846,532.157727,0.082584,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,1,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_104583794,0.300000000,0.008800000,0.000000000,0.000000000,0.000000000,0.000000000,0.109000000,72.081000000,6.389000000,manual_review_judgments,calibration,not_dense_success,calibration,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,,,,,,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_104586480,0.269000000,0.010600000,5508.000000000,372.897880000,1.000000000,13.290000000,0.422000000,217.608000000,14.770000000,unlabeled,not_manual,not_dense_success,unlabeled,,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,22504,5536,515.133879,0.068434,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_107802038,0.751000000,0.003900000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,388.477000000,unlabeled,not_manual,not_dense_success,unlabeled,,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,,,,,,true,well_textured,well_textured,,,false,well_textured,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_107807336,0.547000000,0.005500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,100.627000000,unlabeled,not_manual,not_dense_success,unlabeled,,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,,,,,,true,well_textured,well_textured,,,false,well_textured,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_108246888,0.470000000,0.007800000,1350.000000000,96.696213000,0.946429000,0.000000000,0.292000000,83.840000000,13.961000000,dense_success_positive,not_manual,validation,validation,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,16838,6615,518.771864,0.286000,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,1,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_108247350,0.490000000,0.006200000,13.000000000,1.071100000,0.125000000,0.000000000,0.098000000,67.515000000,12.137000000,manual_review_judgments,validation,not_dense_success,validation,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,,,,,,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_108247351,0.549000000,0.005900000,11.000000000,0.168509000,0.030769000,0.000000000,0.106000000,74.873000000,65.279000000,manual_review_judgments,calibration,not_dense_success,calibration,outline_only,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,7732,0,,,true,well_textured,well_textured,,,false,well_textured,false,0,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_108250120,0.546000000,0.006200000,407.000000000,8.693210000,0.308511000,1.110000000,0.188000000,123.376000000,46.818000000,dense_success_positive,not_manual,calibration,calibration,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,19829,6927,521.168743,5.152373,true,well_textured,indeterminate_small,,,false,indeterminate_small,false,1,20260718,20260719,0,none; existing measurements reused read-only
DEBY_LOD2_108580335,0.304000000,0.008100000,153624.000000000,150.483357000,1.000000000,4.530000000,0.168000000,110.809000000,1020.875000000,dense_success_positive,not_manual,validation,validation,well_textured,well_textured,texture_low_gradient_fraction<=0.804:le,false,,,,,,,,,,,,,,1,complete,9076,4186,530.445214,0.455597,true,well_textured,well_textured,,,false,well_textured,false,1,20260718,20260719,0,none; existing measurements reused read-only
